time,zVel_E[0],zVel_N[1],vel_mps_E,vel_mps_N,gps_vel_mps_E,gps_vel_mps_N,vn_corr_mps_E,vn_corr_mps_N,rt_float_E,rt_float_N,P_Vel[0],P_Vel_N[1],
0.0000000,0.0000020,-0.0043933,0.0000020,0.0106067,0.0000000,0.0150000,0.0000000,0.0000000,0.2170804,0.3820994,0.0108486,0.0293736,
0.0000000,0.0000019,0.0026325,0.0000019,0.0106325,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3911521,0.0108351,0.0292872,
0.0000000,0.0000019,0.0076179,0.0000019,0.0106179,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3872983,0.0108099,0.0292054,
0.0000000,0.0000019,0.0005748,0.0000019,0.0105748,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3754997,0.0107435,0.0291228,
0.0000000,0.0000019,-0.0004286,0.0000019,0.0105714,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3209361,0.0107239,0.0290356,
0.0000000,0.0000019,0.0025748,0.0000019,0.0105748,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3794733,0.0107061,0.0289175,
0.0000000,0.0000019,0.0085600,0.0000019,0.0105600,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3714835,0.0106817,0.0288339,
0.0000000,0.0000019,-0.0184913,0.0000019,0.0105087,0.0000000,0.0290000,0.0000000,0.0000000,0.3018380,0.3178050,0.0105861,0.0287474,
0.0000000,0.0000019,-0.1203412,0.0000019,0.0106588,0.0000000,0.1310000,0.0000000,0.0000000,0.3749988,0.3224903,0.0105796,0.0286305,
0.0000000,-0.2146603,-0.0201676,0.0000019,0.0115999,0.2146621,0.0317675,0.0000000,0.0000000,0.3297516,0.3710182,0.0105754,0.0285183,
0.0000000,-0.3576785,-0.0354828,0.0002224,0.0117183,0.3579009,0.0472012,0.0000000,0.0000000,0.1000000,0.1000000,0.0105699,0.0284345,
0.0000000,-0.4487185,-0.0818431,0.0041739,0.0143726,0.4528924,0.0962157,0.0000000,0.0000000,0.1000000,0.1000000,0.0105114,0.0273503,
0.0000000,-0.5371090,-0.0941450,0.0090771,0.0200687,0.5461861,0.1142137,0.0000000,0.0000000,0.1000000,0.1000000,0.0104538,0.0263814,
